abacus abako
in sa
abalone abulon
abandon layasan
abandoned inabandunang
abandoning iniiwan
abase humamak
abased mabababa
abasement pagpapababa
abash tarantahin
abate humuglaw
abated humupa
abatement paghulaw
abbess pryora
abbey kumbento
abbot pryor
abbreviate paikliin
abbreviated pinaikli
abbreviation pagpapaikli
abbreviations daglat
abdomen tiyan
abduct umagaw
abducted dinukot
abducting pagdukot
abductions Pagdukot
abductor mangangagaw
aberrant nagkaligaw
aberration pagkaligaw
abet tumulong
abeyance pagpapaliban
abhor mapoot
abhorrence poot
abide tumahan
abideth Nananahan
abiding masunurin
Abijah Abias
abilities kakayahan
ability abilidad
abjure magtakwil
ablation pagputol
ablative ablatibo
ablaze naglalagablab
abloom namumulaklak
ablution paghuhugas
ably sanay
abnegation pagpapakasakit
abnormality kaalanganan
aboard nakasakay
abode tinitirahan
abolished abolisado
abominate mapoot
abomination pagkasuklam
abominations karumaldumal
aboriginal taal
aborting hininto
abortion pagpapalaglag
abortions aborsiyon
abound makapal
abounded nanagana
abounding masagana
abounds tigib
abrasion hadhad
abrasive nakasasakit
abreast magkatabi
abridge magpaikli
abrupt bigla
abruptly biglang
abruptness pagkabigla
abscess maga
abscissa absisa
abscissas abscissa
abscond tumakas
absence kawalan
absences Pagliban
absent wala
absentee manliliban
absenteeism pagliban
absentees lumiban
absolute lubos
absolutism absolutismo
absolutist absolutista
absolutists absolutista
absorb humithit
absorbed hinihigop
absorbent sumisipsip
absorbs sumisipsip
absorption pagsipsip
absorptive sumisipsip
abstained umiwas
abstainer mangingilin
abstaining umiwas
abstinence pangilin
abstinent kainaman
abstruse malabo
absurdity kahangalan
absurdly pabaligho
abundance kasaganaan
abundant masagana
abundantly sagana
abuse abuso
abused aba
abusing inaabuso
abusive abusado
abut makaratig
abutting karatig
abuzz humihiging
abyss kailaliman
Abyssinia Etyopya
acacia akasya
academe akademya
academic akademiko
academician propesor
academics akademya
academy akademya
acceded pumayag
accelerate magpabilis
accelerated pinabilis
acceleration pagpabibilis
accelerator aselerador
accent tuldik
accents punto
accentuate magpatingkad
accentuation pagtutuldik
accept tanggapin
acceptability pagkatanggap
acceptably nakalulugod
acceptance pagtanggap
acceptances pagtanggap
accepted tinanggap
accepting pagtanggap
accepts tumatanggap
access daan
accessed access
accesses access
accessibility pagkarating
accessories aksesorya
accessory kasapakat
accidence morpolohiya
accident aksidente
accidental aksidenteng
accidents aksidente
acclaim pumalakpak
acclamation palakpakan
accolade puri
accommodate maglaman
accommodated kaluwagan
accommodating matulungin
accommodation tuluyan
accommodations kaluwagan
accompanied hatid
accompaniment saliw
accompanist tagasaliw
accompany samahan
accompanying sinasamahan
accomplice kasapakat
accomplices kasabwat
accomplish ganapin
accomplishing pagsasakatuparan
accomplishment katuparan
accordance alinsunod
accordant magkasundo
accorded ibinibigay
accordingly kaya
accordion akurdyon
accountability pananagutan
accountable maipaliwanag
accountant kontador
accounted alang
accredited pinaniwalaan
accretion paghihilom
accrue makakaipon
accrued naipon
accrues nakakaipon
accueil Simula
accumulate maipon
accumulated akumulado
accumulating magtamo
accumulation akumulasyon
accumulative natitipon
accumulator nagtitipon
accuracy katumpakan
accurate tumpak
accurately tama
accursed sinumpa
accurst sinumpa
accusation paratang
accusations paratang
accusative akusatibo
accusatory nagsasakdal
accuse akusahan
accused akusado
accuser akusador
accusing akusasyon
accustom mamihasa
accustomed sanay
ace alas
acerbic nakayayamot
acerbity asim
acetate asetato
acetylene asetileno
ache sakit
achievable matamo
achieve makamit
achieved nakakamit
achieving pagkamit
acid asido
acidity kaasiman
acidly patuya
acknowledge magpasalamat
acknowledged kinikilala
acknowledgement pagpapasalamat
acknowledgements Pasasalamat
acknowledges Kinikilala
acknowledging tinatanggap
acknowledgment pagpapasalamat
acknowledgments Pasasalamat
acme rurok
acolyte sakristan
acoustics akustika
acquaintance kakilala
acquainted hirati
acquiescence pagpayag
acquiescent pumapayag
acquire magtamo
acquired tinamo
acquirement pagtatamo
acquirements kaalaman
acquiring pulot
acquisition pagtatamo
acquited absuweltado
acquitted absuweltado
acrid mapakla
acrimonious masakit
acrimony tulis
acrobat sirkero
acrobatic akrobatiko
acrobatics akrobatika
acronyms acronym
acrostic akrostik
act pagkilos
acted kumilos
acting kumikilos
action aksyon
activate buhayin
activated aktibo
activations pagsasaaktibo
active aktibo
actively aktibong
activism Aktibismo
activists aktibista
activity aktibidad
actor aktor
actors aktor
acts gawang
actual tunay
actualisation actualization
actualise matupad
actuality katunayan
actually talaga
actuary aktuwaryo
actuate magpakilos
actuating nagpapakilos
actuelle Kasalukuyang
acuity katalinuhan
acute talamak
acutely kakaunti
acuteness talas
adage kasabihan
adamant matibay
adamantine matigas
adapt umangkop
adaptation pagbagay
adaptations pakikibagay
adapted hango
adapter adaptor
adapting adaptasyon
adaptive bumagay
adaptors adapters
add magdagdag
added idinagdag
addendum adenda
addicted gumon
addiction pagkagumon
addictive nakakahumaling
addicts adik
addition dagdag
additional karagdagang
additionally Karagdagan
additive magkakasama
addle bugok
