abacus,abako,NN
I, ako,PRP
in,sa,IN
is,ay,VBZ
when,nang,WRB
the,ang,DT
rice,bigas,NN
lose,natalo,VB
score,makapuntos,NN
only,lang,RB
gave,nakapagbigay,VBD
abalone,abulon,NN
abandon,layasan,NN
abandoned,inabandunang,VBN
abandoning,iniiwan,VBG
abase,humamak,NN
abased,mabababa,VBN
abasement,pagpapababa,NN
abash,tarantahin,NN
abate,humuglaw,NN
abated,humupa,VBN
abatement,paghulaw,NN
abbess,pryora,NN
abbey,kumbento,NN
abbot,pryor,NN
abbreviate,paikliin,NN
abbreviated,pinaikli,VBN
abbreviation,pagpapaikli,NN
abbreviations,daglat,NNS
abdomen,tiyan,NNS
abduct,umagaw,NN
abducted,dinukot,VBN
abducting,pagdukot,VBG
abductions,Pagdukot,NNS
abductor,mangangagaw,NN
aberrant,nagkaligaw,NN
aberration,pagkaligaw,NN
abet,tumulong,NN
abeyance,pagpapaliban,NN
abhor,mapoot,NN
abhorrence,poot,NN
abide,tumahan,NN
abideth,Nananahan,NNS
abiding,masunurin,VBG
Abijah,Abias,NN
abilities,kakayahan,NNS
ability,abilidad,NN
abjure,magtakwil,NN
ablation,pagputol,NN
ablative,ablatibo,JJ
ablaze,naglalagablab,NN
abloom,namumulaklak,NN
ablution,paghuhugas,NN
ably,sanay,RB
abnegation,pagpapakasakit,NN
abnormality,kaalanganan,NN
aboard,nakasakay,NN
abode,tinitirahan,NN
abolished,abolisado,VBN
abominate,mapoot,NN
abomination,pagkasuklam,NN
abominations,karumaldumal,NNS
aboriginal,taal,JJ
aborting,hininto,VBG
abortion,pagpapalaglag,NN
abortions,aborsiyon,NNS
abound,makapal,NN
abounded,nanagana,VBD
abounding,masagana,VBG
abounds,tigib,NNS
abrasion,hadhad,NN
abrasive,nakasasakit,JJ
abreast,magkatabi,NN
abridge,magpaikli,NN
abrupt,bigla,NN
abruptly,biglang,RB
abruptness,pagkabigla,NN
abscess,maga,NN
abscissa,absisa,NN
abscissas,abscissa,NN
abscond,tumakas,NN
absence,kawalan,NN
absences,Pagliban,NNS
absentee,manliliban,NN
absenteeism,pagliban,NN
absentees,lumiban,NNS
absolute,lubos,NN
